"label" "Group" "numOtus"
"161" 0.03 "X1P38N3ACD7" 5802
"162" 0.03 "X1P38N3AFD0" 5802
"163" 0.03 "X1P38N3AFD4" 5802
"164" 0.03 "X1P38N3AFD7" 5802
"165" 0.03 "X1P38N3AID7" 5802
"166" 0.03 "X1P39N3BCD7" 5802
"167" 0.03 "X1P39N3BFD0" 5802
"168" 0.03 "X1P39N3BFD4" 5802
"169" 0.03 "X1P39N3BFD7" 5802
"170" 0.03 "X1P39N3BID7" 5802
"171" 0.03 "X1P3N1ACD4" 5802
"172" 0.03 "X1P3N1AFD0" 5802
"173" 0.03 "X1P3N1AFD4" 5802
"174" 0.03 "X1P3N1AID4" 5802
"175" 0.03 "X1P40N3BCD7" 5802
"176" 0.03 "X1P40N3BFD0" 5802
"177" 0.03 "X1P40N3BFD4" 5802
"178" 0.03 "X1P40N3BFD7" 5802
"179" 0.03 "X1P40N3BID7" 5802
"180" 0.03 "X1P41N3BCD7" 5802
"181" 0.03 "X1P41N3BFD0" 5802
"182" 0.03 "X1P41N3BFD4" 5802
"183" 0.03 "X1P41N3BFD7" 5802
"184" 0.03 "X1P41N3BID7" 5802
"185" 0.03 "X1P42N3BCD7" 5802
"186" 0.03 "X1P42N3BFD0" 5802
"187" 0.03 "X1P42N3BFD4" 5802
"188" 0.03 "X1P42N3BFD7" 5802
"189" 0.03 "X1P42N3BID7" 5802
"190" 0.03 "X1P43N1ACD14" 5802
"191" 0.03 "X1P43N1AFD0" 5802
"192" 0.03 "X1P43N1AFD11" 5802
"193" 0.03 "X1P43N1AFD14" 5802
"194" 0.03 "X1P43N1AFD4" 5802
"195" 0.03 "X1P43N1AFD7" 5802
"196" 0.03 "X1P43N1AID14" 5802
"197" 0.03 "X1P44N1ACD14" 5802
"198" 0.03 "X1P44N1AFD0" 5802
"199" 0.03 "X1P44N1AFD11" 5802
"200" 0.03 "X1P44N1AFD14" 5802
"201" 0.03 "X1P44N1AFD4" 5802
"202" 0.03 "X1P44N1AFD7" 5802
"203" 0.03 "X1P44N1AID14" 5802
"204" 0.03 "X1P45N1ACD14" 5802
"205" 0.03 "X1P45N1AFD0" 5802
"206" 0.03 "X1P45N1AFD11" 5802
"207" 0.03 "X1P45N1AFD14" 5802
"208" 0.03 "X1P45N1AFD4" 5802
"209" 0.03 "X1P45N1AFD7" 5802
"210" 0.03 "X1P45N1AID14" 5802
"211" 0.03 "X1P46N1ACD14" 5802
"212" 0.03 "X1P46N1AFD0" 5802
"213" 0.03 "X1P46N1AFD11" 5802
"214" 0.03 "X1P46N1AFD14" 5802
"215" 0.03 "X1P46N1AFD4" 5802
"216" 0.03 "X1P46N1AFD7" 5802
"217" 0.03 "X1P46N1AID14" 5802
"218" 0.03 "X1P47N1BCD14" 5802
"219" 0.03 "X1P47N1BFD0" 5802
"220" 0.03 "X1P47N1BFD11" 5802
"221" 0.03 "X1P47N1BFD14" 5802
"222" 0.03 "X1P47N1BFD4" 5802
"223" 0.03 "X1P47N1BFD7" 5802
"224" 0.03 "X1P47N1BID14" 5802
"225" 0.03 "X1P48N1BCD14" 5802
"226" 0.03 "X1P48N1BFD0" 5802
"227" 0.03 "X1P48N1BFD11" 5802
"228" 0.03 "X1P48N1BFD14" 5802
"229" 0.03 "X1P48N1BFD4" 5802
"230" 0.03 "X1P48N1BFD7" 5802
"231" 0.03 "X1P48N1BID14" 5802
"232" 0.03 "X1P49N1BCD14" 5802
"233" 0.03 "X1P49N1BFD0" 5802
"234" 0.03 "X1P49N1BFD11" 5802
"235" 0.03 "X1P49N1BFD14" 5802
"236" 0.03 "X1P49N1BFD4" 5802
"237" 0.03 "X1P49N1BFD7" 5802
"238" 0.03 "X1P49N1BID14" 5802
"239" 0.03 "X1P4N1ACD4" 5802
"240" 0.03 "X1P4N1AFD0" 5802
"241" 0.03 "X1P4N1AFD4" 5802
"242" 0.03 "X1P4N1AID4" 5802
"243" 0.03 "X1P50N1BCD4" 5802
"244" 0.03 "X1P50N1BFD0" 5802
"245" 0.03 "X1P50N1BFD4" 5802
"246" 0.03 "X1P50N1BID4" 5802
"247" 0.03 "X1P51N2ACD14" 5802
"248" 0.03 "X1P51N2AFD0" 5802
"249" 0.03 "X1P51N2AFD11" 5802
"250" 0.03 "X1P51N2AFD14" 5802
"251" 0.03 "X1P51N2AFD4" 5802
"252" 0.03 "X1P51N2AFD7" 5802
"253" 0.03 "X1P51N2AID14" 5802
"254" 0.03 "X1P52N2ACD14" 5802
"255" 0.03 "X1P52N2AFD0" 5802
"256" 0.03 "X1P52N2AFD11" 5802
"257" 0.03 "X1P52N2AFD14" 5802
"258" 0.03 "X1P52N2AFD4" 5802
"259" 0.03 "X1P52N2AFD7" 5802
"260" 0.03 "X1P52N2AID14" 5802
"261" 0.03 "X1P53N2ACD14" 5802
"262" 0.03 "X1P53N2AFD11" 5802
"263" 0.03 "X1P53N2AFD14" 5802
"264" 0.03 "X1P53N2AFD4" 5802
"265" 0.03 "X1P53N2AFD7" 5802
"266" 0.03 "X1P53N2AID14" 5802
"267" 0.03 "X1P54N2ACD14" 5802
"268" 0.03 "X1P54N2AFD0" 5802
"269" 0.03 "X1P54N2AFD11" 5802
"270" 0.03 "X1P54N2AFD14" 5802
"271" 0.03 "X1P54N2AFD4" 5802
"272" 0.03 "X1P54N2AFD7" 5802
"273" 0.03 "X1P54N2AID14" 5802
"274" 0.03 "X1P55N2BCD14" 5802
"275" 0.03 "X1P55N2BFD0" 5802
"276" 0.03 "X1P55N2BFD11" 5802
"277" 0.03 "X1P55N2BFD14" 5802
"278" 0.03 "X1P55N2BFD7" 5802
"279" 0.03 "X1P55N2BID14" 5802
"280" 0.03 "X1P56N2BCD14" 5802
"281" 0.03 "X1P56N2BFD0" 5802
"282" 0.03 "X1P56N2BFD11" 5802
"283" 0.03 "X1P56N2BFD14" 5802
"284" 0.03 "X1P56N2BFD4" 5802
"285" 0.03 "X1P56N2BFD7" 5802
"286" 0.03 "X1P56N2BID14" 5802
"287" 0.03 "X1P57N2BCD14" 5802
"288" 0.03 "X1P57N2BFD0" 5802
"289" 0.03 "X1P57N2BFD11" 5802
"290" 0.03 "X1P57N2BFD14" 5802
"291" 0.03 "X1P57N2BFD4" 5802
"292" 0.03 "X1P57N2BFD7" 5802
"293" 0.03 "X1P57N2BID14" 5802
"294" 0.03 "X1P58N2BCD14" 5802
"295" 0.03 "X1P58N2BFD11" 5802
"296" 0.03 "X1P58N2BFD14" 5802
"297" 0.03 "X1P58N2BFD4" 5802
"298" 0.03 "X1P58N2BFD7" 5802
"299" 0.03 "X1P58N2BID14" 5802
"300" 0.03 "X1P59N3ACD14" 5802
"301" 0.03 "X1P59N3AFD0" 5802
"302" 0.03 "X1P59N3AFD11" 5802
"303" 0.03 "X1P59N3AFD14" 5802
"304" 0.03 "X1P59N3AFD4" 5802
"305" 0.03 "X1P59N3AFD7" 5802
"306" 0.03 "X1P59N3AID14" 5802
"307" 0.03 "X1P5N1BCD14" 5802
"308" 0.03 "X1P5N1BFD0" 5802
"309" 0.03 "X1P5N1BFD11" 5802
"310" 0.03 "X1P5N1BFD14" 5802
"311" 0.03 "X1P5N1BFD4" 5802
"312" 0.03 "X1P5N1BFD7" 5802
"313" 0.03 "X1P5N1BID14" 5802
"314" 0.03 "X1P60N3ACD14" 5802
"315" 0.03 "X1P60N3AFD0" 5802
"316" 0.03 "X1P60N3AFD11" 5802
"317" 0.03 "X1P60N3AFD14" 5802
"318" 0.03 "X1P60N3AFD4" 5802
"319" 0.03 "X1P60N3AFD7" 5802
"320" 0.03 "X1P60N3AID14" 5802
"321" 0.03 "X1P61N3ACD14" 5802
"322" 0.03 "X1P61N3AFD0" 5802
"323" 0.03 "X1P61N3AFD11" 5802
"324" 0.03 "X1P61N3AFD14" 5802
"325" 0.03 "X1P61N3AFD4" 5802
"326" 0.03 "X1P61N3AFD7" 5802
"327" 0.03 "X1P61N3AID14" 5802
"328" 0.03 "X1P63N3BCD14" 5802
"329" 0.03 "X1P63N3BFD0" 5802
"330" 0.03 "X1P63N3BFD11" 5802
"331" 0.03 "X1P63N3BFD14" 5802
"332" 0.03 "X1P63N3BFD4" 5802
"333" 0.03 "X1P63N3BFD7" 5802
"334" 0.03 "X1P63N3BID14" 5802
"335" 0.03 "X1P64N3BCD14" 5802
"336" 0.03 "X1P64N3BFD0" 5802
"337" 0.03 "X1P64N3BFD11" 5802
"338" 0.03 "X1P64N3BFD14" 5802
"339" 0.03 "X1P64N3BFD4" 5802
"340" 0.03 "X1P64N3BFD7" 5802
"341" 0.03 "X1P64N3BID14" 5802
"342" 0.03 "X1P65N3BCD14" 5802
"343" 0.03 "X1P65N3BFD0" 5802
"344" 0.03 "X1P65N3BFD11" 5802
"345" 0.03 "X1P65N3BFD14" 5802
"346" 0.03 "X1P65N3BFD4" 5802
"347" 0.03 "X1P65N3BFD7" 5802
"348" 0.03 "X1P65N3BID14" 5802
"349" 0.03 "X1P66N3BCD14" 5802
"350" 0.03 "X1P66N3BFD0" 5802
"351" 0.03 "X1P66N3BFD11" 5802
"352" 0.03 "X1P66N3BFD14" 5802
"353" 0.03 "X1P66N3BFD4" 5802
"354" 0.03 "X1P66N3BFD7" 5802
"355" 0.03 "X1P66N3BID14" 5802
"356" 0.03 "X1P6N1BCD4" 5802
"357" 0.03 "X1P6N1BFD0" 5802
"358" 0.03 "X1P6N1BFD4" 5802
"359" 0.03 "X1P6N1BID4" 5802
"360" 0.03 "X1P7N1BCD4" 5802
"361" 0.03 "X1P7N1BFD4" 5802
"362" 0.03 "X1P7N1BID4" 5802
"363" 0.03 "X1P8N2ACD4" 5802
"364" 0.03 "X1P8N2AFD0" 5802
"365" 0.03 "X1P8N2AFD4" 5802
"366" 0.03 "X1P8N2AID4" 5802
"367" 0.03 "X1P9N2ACD4" 5802
"368" 0.03 "X1P9N2AFD4" 5802
"369" 0.03 "X1P9N2AID4" 5802
