pignum,time_point,pig_weight,temp,pan_wt,wet_wt,Dry_wt_pan,Dry_weight,percent_drymatter,daily_shedding,treatment,total_shedding
253,2,NA,103.9,1.07,1.03,1.25,0.18,17.47572816,8.51719319141624,Bglu,3.69897000433602
461,2,NA,102.7,1.09,1.06,1.34,0.25,23.58490566,4.60517018598809,Bglu,2
8,2,NA,103.3,1.08,1.03,1.39,0.31,30.09708738,0,Bglu,0
141,2,NA,103.6,NA,NA,NA,NA,NA,6.30991827822652,Bglu,2.74036268949424
226,2,NA,102,1.08,1.07,1.39,0.31,28.97196262,3.91202300542815,Bglu,1.69897000433602
237,2,NA,104.8,1.05,1.01,1.22,0.17,16.83168317,6.90775527898214,Bglu,3
77,7,14.88,102.8,1.05,1.06,1.27,0.22,20.75471698,3.91202300542815,control,12.30102999566398
87,7,14.46,102.9,1.03,1.11,1.38,0.35,31.53153153,5.85793315448346,control,15.030094502394512
122,7,19.86,103.3,1.03,1.08,1.24,0.21,19.44444444,3.91202300542815,control,24.33869442406989
160,7,17.54,103.3,1.02,1.03,1.3,0.28,27.18446602,6.47697236288968,control,17.285249631607165
191,7,18.08,102.3,1.03,1.01,1.31,0.28,27.72277228,4.60517018598809,control,13.90423815522598
224,7,12.08,102.5,1.04,1.01,1.31,0.27,26.73267327,10.9150884642146,control,21.69610347198561
337,7,17.98,103,1.06,NA,NA,NA,NA,8.69951474821019,control,25.697462493660762
345,7,20.54,102.6,1.06,1.02,1.31,0.25,24.50980392,4.60517018598809,control,13.90423815522598
419,7,18.74,103.2,1.01,0.99,1.29,0.28,28.28282828,7.86326672400957,control,18.69824832439884
458,7,14.52,102.1,1.03,1.09,1.37,0.34,31.19266055,4.60517018598809,control,16.627767531568722
50,7,16.14,102.4,1.03,1.03,1.31,0.28,27.18446602,6.39692965521615,RPS,18.061697532653977
93,7,17.74,102.9,1.05,1.04,1.27,0.22,21.15384615,3.91202300542815,RPS,15.80102999566398
97,7,15.1,102.9,1.02,1,1.24,0.22,22,0,RPS,0
181,7,21.84,102.1,1.02,1,1.3,0.28,28,0,RPS,5.94639501517607
244,7,17.56,102.3,1.03,1.05,1.35,0.32,30.47619048,7.3132203870903,RPS,13.88662316281527
321,7,17.64,102.7,1.02,0.98,1.32,0.3,30.6122449,3.91202300542815,RPS,4.24742501084005
355,7,18.08,101.9,1.07,1.07,1.37,0.3,28.03738318,3.91202300542815,RPS,13.693820026016121
373,7,19.56,102.3,1.04,1.05,1.34,0.3,28.57142857,3.91202300542815,RPS,11.247425010840049
392,7,16.72,103.5,1.02,1.03,1.31,0.29,28.15533981,3.91202300542815,RPS,13.693820026016121
26,7,14.74,102.4,1.09,1.05,1.38,0.29,27.61904762,3.91202300542815,Acid,10.19382002601612
52,7,21.76,103.7,1.02,1.02,1.33,0.31,30.39215686,3.91202300542815,Acid,10.19382002601612
126,7,14.66,102.7,1.02,1.08,1.3,0.28,25.92592593,9.42947590189285,Acid,16.184318393755472
152,7,17.72,103,1.02,1.08,1.35,0.33,30.55555556,5.29831736654804,Acid,14.85978495880781
178,7,21.2,101.7,1.06,1,1.37,0.31,31,4.60517018598809,Acid,10.94639501517607
211,7,17.08,102.8,1.06,1,1.3,0.24,24,4.60517018598809,Acid,12
348,7,16.64,102.9,1.06,1,1.33,0.27,27,6.90775527898214,Acid,24.752966240000017
361,7,11.12,102.8,1.06,1,1.36,0.3,30,5.01063529409626,Acid,20.56799567920792
378,7,19.22,103.3,1.07,1,1.38,0.31,31,3.91202300542815,Acid,10.19382002601612
426,7,20.6,101.9,1.08,1.05,1.38,0.3,28.57142857,5.99146454710798,Acid,6.5051499783199
74,7,16.06,102.7,1.06,1.05,1.35,0.29,27.61904762,6.30991827822652,Zn+Cu,12.79730173891167
83,7,25.14,103.5,1.02,1.04,1.25,0.23,22.11538462,8.98719682066197,Zn+Cu,25.86493493712771
219,7,14.92,103.5,1.07,1.07,1.36,0.29,27.10280374,6.62007320653036,Zn+Cu,24.2503675803502
265,7,17.72,103.1,1.08,1.05,1.39,0.31,29.52380952,7.3132203870903,Zn+Cu,15.55654755433408
295,7,24.62,102.3,1.08,1.03,1.35,0.27,26.21359223,3.91202300542815,Zn+Cu,13.693820026016121
326,7,23.08,103.2,1.03,1.02,1.32,0.29,28.43137255,3.91202300542815,Zn+Cu,15.36374441753493
422,7,20.9,102.6,1.02,1.03,1.3,0.28,27.18446602,5.7037824746562,Zn+Cu,15.639198151975222
432,7,18.84,103.2,1.05,1.02,1.35,0.3,29.41176471,5.52146091786225,Zn+Cu,12.9948500216801
450,7,17.74,103.3,1.05,1.04,1.31,0.26,25,3.91202300542815,Zn+Cu,10.19382002601612
472,7,19.44,103.1,1.03,1.05,1.33,0.3,28.57142857,5.99146454710798,Zn+Cu,15.409388133545882
22,7,15.78,101.3,1.05,1.05,1.34,0.29,27.61904762,3.91202300542815,RCS,18.24742501084005
43,7,17.84,103.5,1.04,1.04,1.32,0.28,26.92307692,5.01063529409626,RCS,13.056547554334081
65,7,18.06,103.6,1.04,1.1,1.37,0.33,30,6.10924758276437,RCS,13.63303128443835
119,7,18.92,102.5,1.06,1.04,1.35,0.29,27.88461538,3.91202300542815,RCS,10.19382002601612
138,7,16.38,102,1.04,1.05,1.32,0.28,26.66666667,3.91202300542815,RCS,10.19382002601612
175,7,18.2,102.6,1.03,1.04,1.31,0.28,26.92307692,3.91202300542815,RCS,15.80102999566398
198,7,15.54,102.3,1.07,1.05,1.34,0.27,25.71428571,7.13089883029635,RCS,25.082123815557804
397,7,22.08,102,1.03,1.02,1.31,0.28,27.45098039,6.30991827822652,RCS,16.29730173891167
453,7,21.86,102.3,1.04,1.09,1.28,0.24,22.01834862,4.60517018598809,RCS,14.446395015176073
469,7,17.44,101.2,1.03,1.05,1.31,0.28,26.66666667,3.91202300542815,RCS,14.205268150889959
6,7,17.38,102.4,1.04,1.03,1.3,0.26,25.24271845,7.69621263934641,Bglu,17.025981093574337
144,7,16.36,102.3,1.04,1.04,1.33,0.29,27.88461538,0,Bglu,13.83984878303762
228,7,16.96,102.3,1.05,1.07,1.34,0.29,27.10280374,6.10924758276437,Bglu,17.055063902949325
240,7,14.9,101.9,1.02,1,1.32,0.3,30,9.40508444876869,Bglu,16.157835710011895
